event_id,category,face_value_price,event_date,max_resale_multiplier,high_demand,total_tickets,organizer_id
E2000,concert,380.47,2026-05-19 08:51:57.219016,1.44,0,806,U100000
E2001,sports,63.33,2026-05-07 07:49:01.208720,1.15,0,2066,U100000
E2002,concert,133.18,2026-06-01 11:16:38.197746,1.47,1,1719,U100000
E2003,concert,352.25,2026-06-15 15:20:58.891016,1.11,0,2692,U100000
E2004,sports,236.73,2026-05-24 16:04:57.731632,1.43,0,2731,U100000
E2005,concert,349.59,2026-04-28 05:38:46.382282,1.13,0,104,U100000
E2006,movie,30.52,2026-03-06 11:49:26.145093,1.18,0,711,U100000
E2007,movie,14.54,2026-05-20 10:54:48.876421,1.1,0,893,U100000
E2008,movie,10.99,2026-07-11 09:27:48.982420,1.28,0,1054,U100000
E2009,movie,36.42,2026-04-28 12:06:16.367539,1.23,0,558,U100000
E2010,concert,295.6,2026-05-13 20:51:19.326544,1.17,0,1641,U100000
E2011,sports,238.84,2026-03-29 10:12:52.569213,1.28,0,2793,U100000
E2012,concert,111.2,2026-06-01 05:22:47.592360,1.26,0,1613,U100000
E2013,movie,39.11,2026-07-19 12:48:12.539612,1.41,0,1712,U100000
E2014,concert,289.23,2026-02-02 01:52:07.519890,1.46,1,2400,U100000
E2015,movie,27.54,2026-02-10 11:32:43.229825,1.36,0,2787,U100000
E2016,sports,249.66,2026-04-18 21:18:04.469721,1.15,1,1721,U100000
E2017,movie,17.57,2026-04-07 06:36:06.864681,1.22,0,1186,U100000
E2018,concert,316.28,2026-04-25 07:32:05.876276,1.47,1,2105,U100000
E2019,movie,31.31,2026-01-10 19:33:19.544675,1.14,0,218,U100000
E2020,concert,173.92,2026-03-22 20:31:37.165390,1.26,0,2513,U100000
E2021,concert,347.54,2026-04-27 14:17:44.368493,1.48,0,4712,U100000
E2022,sports,64.25,2026-04-28 00:55:06.550550,1.48,0,2049,U100000
E2023,movie,38.36,2026-05-12 11:12:10.859357,1.26,0,630,U100000
E2024,sports,48.89,2026-05-25 01:02:12.981166,1.37,0,3564,U100000
E2025,concert,384.01,2026-05-09 07:25:35.673730,1.28,1,721,U100000
E2026,sports,247.8,2026-06-08 01:10:01.725129,1.4,0,1048,U100000
E2027,sports,196.63,2026-05-05 22:51:03.767350,1.11,1,818,U100000
E2028,sports,262.78,2026-04-18 12:02:12.408643,1.16,1,4429,U100000
