primary_transaction_id,timestamp,ticket_id,event_id,buyer_id,face_value_price,is_bulk_bot_suspected
PTX100000,2025-12-29 19:25:13.223414,T-caad5fee3d,E2028,U100089,262.78,0
PTX100001,2026-04-12 13:16:40.937790,T-2570b24beb,E2029,U100202,24.69,1
PTX100002,2025-09-23 07:22:53.194993,T-41177418ba,E2048,U100149,187.11,0
PTX100003,2026-01-18 04:59:31.655636,T-e2c70e5822,E2098,U100581,12.8,0
PTX100004,2026-02-12 06:39:35.027651,T-cf8995ed0c,E2016,U100155,249.66,0
PTX100005,2026-03-01 11:03:07.385235,T-64e448f7eb,E2125,U100170,138.51,0
PTX100006,2026-03-10 08:33:34.768872,T-bc474e4eeb,E2038,U100282,110.29,0
PTX100007,2026-04-15 07:21:58.861443,T-d04181f62a,E2039,U100558,272.37,0
PTX100008,2026-02-05 17:58:48.613907,T-fe8acc702c,E2029,U100392,24.69,0
PTX100009,2026-02-05 16:53:25.304110,T-771cd97281,E2091,U100525,148.0,0
PTX100010,2025-10-22 08:03:17.487526,T-9836680635,E2111,U100060,31.94,0
PTX100011,2025-12-26 06:07:36.867262,T-f2309cfa1a,E2111,U100145,31.94,0
PTX100012,2025-10-27 14:41:28.506226,T-01d8598edc,E2139,U100097,149.96,0
PTX100013,2025-12-02 09:57:29.868445,T-63591680e9,E2139,U100493,149.96,0
PTX100014,2025-12-27 04:53:55.956801,T-a52c6af546,E2130,U100338,17.52,0
PTX100015,2025-09-15 06:50:12.252539,T-317408a3b6,E2019,U100126,31.31,0
PTX100016,2025-12-03 07:53:30.148956,T-589095e849,E2092,U100497,121.83,0
PTX100017,2026-02-26 15:57:41.361690,T-cf8a44cfb5,E2042,U100447,170.65,0
PTX100018,2026-01-17 00:27:50.837574,T-4f9ac0b3f2,E2098,U100354,12.8,0
PTX100019,2026-03-07 13:53:15.445469,T-6a56b1ddd5,E2113,U100450,26.95,0
PTX100020,2025-10-15 16:34:55.479973,T-beee2efe60,E2073,U100457,395.8,0
PTX100021,2025-12-10 21:56:41.666673,T-2e059637de,E2131,U100425,55.27,0
PTX100022,2026-01-18 14:53:25.129995,T-ecaf3b5242,E2087,U100196,29.29,0
PTX100023,2026-05-12 09:27:09.696295,T-f88b385f7b,E2052,U100445,261.8,0
