user_id,role,account_created_at,trust_score,verified_fan
U100000,admin,2024-05-09 22:44:54.154335,73.7,0
U100001,user,2024-05-26 22:51:43.434192,97.3,1
U100002,user,2024-05-14 19:26:02.402716,45.2,0
U100003,user,2025-10-23 01:14:03.339206,50.8,0
U100004,user,2025-12-10 09:22:32.166515,63.6,0
U100005,user,2025-01-02 20:02:12.860747,62.2,0
U100006,user,2025-01-13 12:14:09.004036,82.2,0
U100007,user,2023-11-11 22:13:27.338531,73.6,0
U100008,user,2025-12-12 04:14:05.340836,43.4,0
U100009,user,2025-04-14 08:38:05.714668,77.7,0
U100010,user,2025-12-14 09:22:55.773167,61.3,0
U100011,user,2025-04-03 17:51:29.634682,89.1,0
U100012,user,2024-10-25 04:02:09.177710,60.6,0
U100013,user,2025-09-26 06:37:51.788858,60.5,1
U100014,user,2025-02-27 02:29:09.686510,78.1,0
U100015,user,2025-11-23 13:21:37.717354,81.4,0
U100016,user,2025-12-09 02:32:11.024372,76.7,0
U100017,user,2025-10-14 04:55:29.233940,44.7,0
U100018,user,2025-05-20 16:48:15.652005,78.1,0
U100019,user,2025-09-19 18:05:16.877649,54.5,0
U100020,user,2025-02-23 03:41:03.484026,73.5,0
U100021,user,2025-11-06 02:32:30.360214,48.6,1
U100022,user,2024-09-28 12:10:42.294480,76.7,1
U100023,user,2025-02-28 05:29:05.354572,57.9,0
U100024,user,2025-07-21 01:13:23.074399,50.8,0
U100025,user,2025-09-18 17:28:47.143665,80.7,0
U100026,user,2025-09-09 16:04:54.711157,73.6,0
U100027,user,2025-12-12 17:32:13.623598,60.8,0
U100028,user,2025-11-17 02:12:23.305510,91.8,1
U100029,user,2025-07-13 16:04:38.245348,63.4,1
U100030,user,2025-09-25 19:55:06.898948,70.5,1
U100031,user,2025-02-18 22:45:31.876594,74.0,0
U100032,user,2025-07-07 21:03:22.447812,60.7,1
U100033,user,2025-11-02 12:25:12.987163,77.1,0
U100034,user,2025-09-07 17:28:11.936839,62.0,0
U100035,user,2025-07-24 14:39:34.476685,63.8,0
U100036,user,2025-10-07 00:59:59.392944,90.4,1
U100037,user,2025-10-12 12:31:57.628424,54.4,0
U100038,user,2025-05-26 06:30:42.864641,33.8,1
U100039,user,2025-10-18 18:19:00.287138,94.2,0
U100040,user,2025-02-01 13:47:07.619311,100.0,1
U100041,user,2025-01-18 06:48:57.897088,63.9,0
U100042,user,2025-04-04 23:30:08.755952,40.9,0
U100043,user,2025-12-13 17:49:47.683623,65.3,1
U100044,user,2025-03-23 11:35:41.962789,65.7,0
U100045,user,2025-01-27 09:58:19.462112,67.2,0
U100046,user,2025-03-26 11:45:43.528520,53.3,0
U100047,user,2025-10-22 23:42:19.002893,78.7,0
U100048,user,2025-10-12 18:22:58.273622,77.9,0
U100049,user,2025-11-20 13:35:04.402285,47.6,0
U100050,user,2025-10-04 09:49:08.125864,80.5,0
U100051,user,2025-12-26 17:09:41.261549,100.0,1
U100052,user,2025-11-20 03:51:41.843901,72.6,0
U100053,user,2025-02-06 05:39:32.157781,64.9,0
U100054,user,2023-04-08 01:27:44.542407,67.9,0
U100055,user,2025-08-13 02:46:17.204405,79.2,0
U100056,user,2025-10-21 23:45:42.445422,44.0,0
U100057,user,2025-09-23 13:27:44.915604,72.5,1
U100058,user,2025-10-02 15:56:47.984606,64.1,1
U100059,user,2025-11-29 14:11:54.170370,97.7,0
U100060,user,2025-04-05 04:02:57.086773,67.4,0
U100061,user,2025-01-22 00:54:24.764023,95.0,0
U100062,user,2024-12-20 01:08:42.778115,53.4,0
U100063,user,2022-05-14 12:42:11.611589,78.8,0
U100064,user,2024-07-23 08:02:18.928822,74.8,0
U100065,user,2024-11-15 18:48:17.845295,57.0,0
U100066,user,2025-04-15 03:03:03.989305,72.7,0
U100067,user,2025-08-05 20:51:17.302447,88.2,0
U100068,user,2025-12-20 21:16:43.184528,65.1,0
U100069,user,2025-05-06 20:22:59.804684,44.6,0
U100070,user,2025-07-29 15:42:05.310152,69.7,0
U100071,user,2024-12-20 00:13:54.297633,56.5,1
U100072,user,2024-08-11 23:59:25.847025,64.9,0
U100073,user,2025-10-09 23:35:13.602539,68.8,0
U100074,user,2025-12-19 13:29:44.422000,44.4,0
U100075,user,2025-05-14 19:03:59.721348,45.8,1
U100076,user,2024-04-02 15:29:00.964449,77.2,0
U100077,user,2025-06-09 17:34:13.513257,62.2,1
U100078,user,2024-07-17 06:20:33.665761,31.5,1
U100079,user,2025-06-26 17:54:41.500660,81.8,0
U100080,user,2025-02-06 12:02:08.570892,74.1,0
U100081,user,2025-10-20 19:18:07.314830,59.3,0
U100082,user,2025-11-28 09:29:47.381884,50.2,1
U100083,user,2025-11-26 09:06:54.012810,82.5,0
U100084,user,2025-12-02 13:54:21.929578,75.2,1
U100085,user,2025-12-18 07:57:40.631468,100.0,0
U100086,user,2024-10-28 20:26:27.063719,76.3,0
U100087,user,2025-09-10 20:18:36.026634,75.8,0
U100088,user,2025-09-26 11:12:44.726434,67.5,0
U100089,user,2025-05-12 06:14:38.372827,82.3,0
U100090,user,2025-11-15 04:23:42.961887,79.4,0
U100091,user,2024-09-08 10:14:43.256004,88.8,1
U100092,user,2025-02-12 00:15:49.548086,62.2,1
U100093,user,2025-10-10 16:32:48.566385,63.5,0
U100094,user,2025-11-11 20:26:56.809555,62.8,0
U100095,user,2025-08-21 05:52:56.439799,81.9,0
U100096,user,2025-10-16 19:00:53.212174,92.5,1
U100097,user,2025-12-13 01:34:04.103925,63.1,0
U100098,user,2025-08-28 02:38:28.353434,63.6,1
U100099,user,2024-06-17 00:43:43.002456,74.7,0
U100100,user,2025-04-23 18:54:01.353017,66.3,0
U100101,user,2023-11-22 09:31:57.526777,84.3,0
U100102,user,2024-08-07 09:24:21.777124,36.2,0
U100103,user,2025-03-27 12:38:50.665021,57.6,1
U100104,user,2024-09-25 08:23:51.465843,58.3,0
U100105,user,2025-07-03 06:24:57.234955,35.2,0
U100106,user,2025-04-09 00:54:16.070379,55.5,1
U100107,user,2025-09-27 22:41:12.059053,56.3,1
U100108,user,2025-11-07 05:40:30.754297,67.0,1
U100109,user,2024-07-13 18:29:44.507260,86.7,0
U100110,user,2025-11-26 22:10:56.021442,66.3,0
U100111,user,2025-11-15 00:36:21.707774,54.5,1
U100112,user,2025-10-15 10:32:58.468365,69.1,0
U100113,user,2025-05-04 03:00:13.388247,85.7,0
U100114,user,2025-09-19 12:57:55.957958,55.4,1
U100115,user,2025-07-13 21:06:08.597197,56.3,0
U100116,user,2024-07-10 01:19:35.740026,78.4,0
U100117,user,2024-12-11 13:40:42.901660,66.7,1
U100118,user,2025-03-14 04:31:05.007626,79.7,0
U100119,user,2025-11-19 06:18:01.502094,69.8,0
U100120,user,2025-03-09 15:28:27.767432,80.5,0
U100121,user,2025-09-09 09:07:48.037443,54.5,0
U100122,user,2025-12-01 01:25:06.307094,69.8,0
U100123,user,2025-09-23 03:26:44.489969,66.8,1
U100124,user,2025-12-14 08:39:19.378267,51.8,1
U100125,user,2025-05-17 05:29:20.757387,46.5,0
U100126,user,2025-05-03 01:56:18.495898,80.3,0
U100127,user,2025-10-19 10:11:57.639012,64.7,1
U100128,user,2025-12-20 12:57:05.392236,54.7,0
U100129,user,2024-02-18 16:08:14.345004,68.6,0
U100130,user,2025-06-13 01:12:18.154070,86.9,0
U100131,user,2024-12-24 23:33:47.740523,35.8,0
U100132,user,2025-10-04 19:13:50.460005,47.6,0
U100133,user,2024-11-07 21:35:41.352763,56.2,0
U100134,user,2024-11-16 16:22:17.552292,91.9,0
U100135,user,2025-12-08 17:12:24.925798,74.2,0
U100136,user,2022-04-14 02:27:43.084410,81.5,0
U100137,user,2025-07-16 14:25:22.552702,52.9,0
U100138,user,2025-01-16 13:26:58.057364,53.2,0
U100139,user,2025-11-01 01:48:22.644118,76.7,0
U100140,user,2025-04-30 01:04:18.917907,70.9,0
U100141,user,2025-10-21 10:32:31.445232,78.2,0
U100142,user,2024-11-23 12:19:49.351238,67.2,0
U100143,user,2025-09-07 05:32:48.075022,74.2,0
U100144,user,2025-06-20 05:25:00.747568,72.4,1
U100145,user,2025-08-21 23:34:35.614220,81.7,0
U100146,user,2025-06-26 14:56:22.894282,82.1,1
U100147,user,2025-09-04 22:11:39.739094,45.7,1
U100148,user,2025-07-31 18:02:10.980847,36.3,0
U100149,user,2025-12-24 19:40:15.352321,85.0,0
U100150,user,2024-11-30 02:56:46.021200,87.8,1
U100151,user,2024-04-13 14:06:34.811894,54.7,0
U100152,user,2025-08-08 18:14:34.093008,42.1,0
U100153,user,2023-09-02 23:27:51.191421,71.5,0
U100154,user,2025-11-19 23:28:51.683641,84.0,0
U100155,user,2024-02-04 20:06:51.646969,97.0,0
U100156,user,2025-10-01 21:52:24.218605,77.7,1
U100157,user,2025-07-17 20:03:01.580929,64.4,1
U100158,user,2024-05-01 18:02:03.298170,56.6,0
U100159,user,2025-11-30 06:27:01.448706,70.2,1
U100160,user,2025-11-14 06:05:24.862244,65.5,0
U100161,user,2025-01-30 08:49:41.085452,54.8,1
U100162,user,2025-04-30 09:43:35.295582,100.0,0
U100163,user,2025-10-21 00:11:13.061488,96.8,1
U100164,user,2025-09-12 03:51:00.867135,87.0,1
U100165,user,2025-06-27 12:53:37.304619,56.2,0
U100166,user,2024-09-13 01:28:03.756024,82.8,0
U100167,user,2025-10-03 10:04:39.352201,79.6,1
U100168,user,2025-06-23 17:36:39.148736,76.6,0
U100169,user,2025-10-04 10:53:19.238560,88.7,0
U100170,user,2025-10-16 22:05:20.111600,79.5,1
U100171,user,2024-07-16 14:44:48.597328,81.1,0
U100172,user,2025-08-14 20:30:06.384311,79.6,0
U100173,user,2025-01-31 03:26:54.201261,75.1,0
U100174,user,2025-10-17 07:47:04.320108,43.2,0
U100175,user,2025-11-15 11:47:21.969360,71.3,1
U100176,user,2025-03-21 09:33:11.062319,61.7,0
U100177,user,2025-01-11 15:16:45.131195,50.8,0
U100178,user,2025-05-08 06:40:52.791190,95.2,0
U100179,user,2025-03-10 03:53:25.158509,95.9,1
U100180,user,2025-04-21 06:53:07.611979,90.4,0
U100181,user,2025-04-03 00:15:51.458570,73.8,1
U100182,user,2024-06-16 07:54:15.807713,90.3,1
U100183,user,2024-01-26 03:11:08.525541,70.2,1
U100184,user,2025-07-19 09:51:21.443854,73.0,1
U100185,user,2025-12-09 07:31:49.349953,53.6,1
U100186,user,2025-01-15 01:35:39.009885,76.0,1
U100187,user,2025-06-03 10:50:18.540642,70.9,0
U100188,user,2024-04-30 21:12:01.718379,50.5,1
U100189,user,2025-04-14 21:09:34.862923,69.2,0
U100190,user,2025-11-26 22:22:56.101657,68.8,0
U100191,user,2025-04-13 16:45:20.531432,97.0,1
U100192,user,2025-08-10 21:19:54.276154,83.4,1
U100193,user,2025-12-03 05:10:59.388322,70.2,1
U100194,user,2025-10-24 12:53:57.621265,73.7,0
U100195,user,2023-08-15 23:45:44.786984,70.7,0
U100196,user,2025-09-22 06:26:11.192275,67.0,0
U100197,user,2025-10-28 11:27:17.145497,53.8,0
U100198,user,2025-09-11 23:21:50.922688,67.7,0
U100199,user,2024-08-02 03:52:25.503890,58.8,0
U100200,user,2025-04-03 18:58:58.586029,51.2,0
U100201,user,2025-11-12 13:46:10.069046,77.7,1
U100202,user,2025-12-29 23:13:24.466806,75.9,0
U100203,user,2025-09-13 11:51:32.063731,43.2,1
U100204,user,2025-11-24 08:14:17.862752,68.2,0
U100205,user,2024-08-02 03:13:39.028836,84.9,0
U100206,user,2025-12-05 08:28:14.962149,85.9,0
U100207,user,2025-07-13 22:32:40.051456,85.4,0
U100208,user,2025-04-21 14:50:06.704769,70.6,1
U100209,user,2024-01-14 11:58:03.492693,57.3,0
U100210,user,2025-10-20 09:07:51.822009,53.7,0
U100211,user,2024-10-24 01:19:14.166202,75.2,1
U100212,user,2025-06-24 01:59:01.564537,75.7,1
U100213,user,2024-10-25 11:52:47.091660,89.3,0
U100214,user,2025-10-03 11:13:10.531702,86.5,0
U100215,user,2025-10-09 19:23:09.830164,68.0,0
U100216,user,2025-10-29 19:21:42.649085,51.3,0
U100217,user,2025-04-15 00:37:08.646732,65.2,0
U100218,user,2025-07-22 14:14:25.221942,73.3,0
U100219,user,2025-05-29 11:31:26.850754,67.0,1
U100220,user,2025-02-14 07:01:47.102478,61.3,0
U100221,user,2025-03-18 11:32:07.360929,73.8,0
U100222,user,2025-04-14 16:12:37.008476,62.4,0
U100223,user,2025-01-16 07:30:50.981562,60.6,1
U100224,user,2025-12-23 09:22:44.613578,74.7,0
U100225,user,2024-12-20 18:21:39.156056,64.0,1
U100226,user,2025-02-09 21:31:56.424935,73.7,1
U100227,user,2025-09-13 08:01:16.108511,74.1,0
U100228,user,2025-11-02 01:38:09.094640,52.9,0
U100229,user,2025-07-07 08:18:48.621750,62.8,0
U100230,user,2024-08-12 13:49:31.883405,91.6,0
U100231,user,2025-10-11 12:25:53.827055,52.6,1
U100232,user,2025-01-07 16:15:52.458077,38.3,0
U100233,user,2023-12-20 17:39:09.605053,42.1,1
U100234,user,2025-09-23 07:03:07.112999,70.4,0
U100235,user,2023-01-21 07:22:01.328235,70.5,0
U100236,user,2025-12-16 21:37:26.773127,68.2,0
U100237,user,2025-12-22 16:53:24.526447,88.2,0
U100238,user,2024-09-23 16:08:51.559311,29.9,0
U100239,user,2025-07-23 15:40:15.844442,75.9,0
U100240,user,2025-08-02 11:43:24.210941,93.4,0
U100241,user,2024-08-29 04:56:10.503944,53.1,1
U100242,user,2024-04-22 06:00:06.336186,64.3,0
U100243,user,2025-06-08 22:19:46.505375,58.7,1
U100244,user,2024-07-23 08:40:03.597245,56.6,0
U100245,user,2025-04-23 09:10:51.299567,65.1,0
U100246,user,2025-08-28 15:13:19.999265,91.4,0
U100247,user,2025-11-01 04:14:41.640535,97.6,0
U100248,user,2025-01-21 19:24:30.686547,65.0,0
U100249,user,2024-07-14 18:41:53.296154,98.6,0
U100250,user,2024-03-04 12:40:41.558973,70.5,1
U100251,user,2025-10-17 11:56:10.016565,96.3,0
U100252,user,2025-04-19 13:12:06.832862,68.6,0
U100253,user,2025-08-25 16:10:45.896239,72.0,0
U100254,user,2024-10-30 00:25:46.132725,75.5,0
U100255,user,2025-11-06 19:42:47.579081,100.0,0
U100256,user,2025-12-17 06:19:15.927016,82.8,0
U100257,user,2025-10-02 18:30:55.498530,59.4,0
U100258,user,2025-12-14 08:02:16.131496,84.5,0
U100259,user,2025-09-05 05:22:40.098954,64.6,1
U100260,user,2025-09-01 00:43:11.823356,62.7,0
U100261,user,2025-12-03 15:39:53.448938,83.6,1
U100262,user,2023-11-21 04:37:06.020333,70.5,0
U100263,user,2025-10-17 10:55:04.804969,74.2,0
U100264,user,2025-03-07 19:23:34.943996,70.2,1
U100265,user,2025-11-11 19:40:35.629041,75.0,0
U100266,user,2025-08-26 19:23:53.746437,76.4,1
U100267,user,2025-12-09 10:32:15.784416,40.9,0
U100268,user,2025-12-02 12:56:53.427205,80.0,0
U100269,user,2025-12-29 05:05:33.306480,55.3,1
U100270,user,2024-11-23 03:47:51.466995,48.4,0
U100271,user,2025-10-04 04:28:17.703733,69.1,0
U100272,user,2025-07-11 20:12:17.605413,71.3,0
U100273,user,2025-05-28 18:19:15.821863,59.6,0
U100274,user,2025-11-17 01:07:18.553754,82.5,1
U100275,user,2023-12-29 17:07:05.466478,49.9,0
U100276,user,2025-08-17 08:08:01.814660,63.9,0
U100277,user,2025-12-13 03:44:55.045151,61.2,1
U100278,user,2025-12-04 23:44:11.083923,69.3,0
U100279,user,2025-08-29 22:00:00.612764,74.2,1
U100280,user,2025-11-30 06:03:11.335255,54.9,0
U100281,user,2025-10-11 10:02:26.647939,80.9,0
U100282,user,2025-06-29 03:59:28.921128,70.9,1
U100283,user,2025-12-21 15:01:02.512381,41.6,0
U100284,user,2025-10-03 06:37:53.302324,40.6,0
U100285,user,2024-12-04 12:40:15.781907,69.8,0
U100286,user,2025-12-13 08:52:11.068736,66.7,1
U100287,user,2025-05-03 09:51:07.759831,68.4,1
U100288,user,2025-12-19 09:10:51.327407,69.6,0
U100289,user,2024-03-02 11:20:50.384032,73.4,0
U100290,user,2025-10-29 10:49:28.923266,84.2,1
U100291,user,2025-10-31 17:30:26.510588,53.3,0
U100292,user,2025-04-03 11:21:28.235627,52.4,0
U100293,user,2024-06-15 03:47:54.926890,53.6,0
U100294,user,2023-10-27 01:34:42.325720,74.3,0
U100295,user,2025-01-20 13:38:34.246713,88.7,1
U100296,user,2024-10-26 02:19:48.795395,63.5,1
U100297,user,2025-04-01 18:55:20.833941,32.5,1
U100298,user,2025-11-13 20:46:49.868136,44.4,0
U100299,user,2025-03-15 14:05:03.623446,57.5,0
U100300,user,2025-11-20 06:43:05.649324,61.6,0
U100301,user,2025-04-28 17:01:25.637482,63.9,0
U100302,user,2025-06-23 04:27:09.869493,70.6,0
U100303,user,2025-10-03 14:36:49.580006,65.3,0
U100304,user,2025-07-07 11:08:03.891933,85.7,0
U100305,user,2025-05-20 10:28:28.477054,59.9,0
U100306,user,2025-11-04 01:41:55.899948,57.1,1
U100307,user,2025-09-18 11:30:11.169755,77.2,0
U100308,user,2025-09-17 07:37:51.650620,47.0,0
U100309,user,2025-12-03 21:27:07.426827,75.8,1
U100310,user,2025-10-20 14:07:35.803197,71.5,1
U100311,user,2025-04-19 11:37:47.854165,67.8,1
U100312,user,2025-03-08 05:25:40.546146,93.8,0
U100313,user,2025-08-10 12:25:31.057481,60.7,1
U100314,user,2025-08-04 00:21:44.258420,100.0,0
U100315,user,2025-09-23 12:50:41.717567,66.6,0
U100316,user,2025-03-15 08:17:07.248488,50.8,0
U100317,user,2025-09-21 10:32:39.579016,71.0,0
U100318,user,2025-05-06 10:59:24.041330,53.9,0
U100319,user,2025-07-24 23:19:51.118952,58.7,0
U100320,user,2025-08-03 22:18:49.210923,76.0,1
U100321,user,2024-01-13 16:27:52.774727,78.3,0
U100322,user,2024-07-13 18:52:40.004323,60.7,0
U100323,user,2025-05-07 12:18:42.087691,84.8,0
U100324,user,2025-03-08 18:34:07.077386,87.4,0
U100325,user,2025-11-25 00:10:45.445077,91.5,0
U100326,user,2025-09-07 02:58:41.693877,77.9,0
U100327,user,2025-02-09 07:49:58.089034,90.5,0
U100328,user,2025-04-20 05:55:57.964339,41.8,1
U100329,user,2025-11-02 19:42:30.005160,65.2,1
U100330,user,2023-11-16 12:56:20.699017,57.0,0
U100331,user,2025-12-22 09:43:21.347707,71.8,0
U100332,user,2025-03-28 15:49:02.274643,61.4,1
U100333,user,2025-12-07 21:26:03.331977,67.5,1
U100334,user,2024-04-26 16:12:25.088953,98.2,0
U100335,user,2025-12-10 08:31:29.783725,67.5,1
U100336,user,2024-12-09 02:02:26.931115,76.2,1
U100337,user,2025-11-16 17:32:54.383181,66.5,1
U100338,user,2022-11-22 20:48:51.069152,71.1,0
U100339,user,2025-08-09 11:28:56.363516,70.1,0
U100340,user,2025-03-13 10:16:45.165704,76.7,0
U100341,user,2025-05-01 03:39:53.273435,87.5,0
U100342,user,2025-07-17 12:38:42.373220,94.7,0
U100343,user,2025-01-05 11:49:13.921268,74.6,0
U100344,user,2025-06-29 23:55:24.698235,78.8,0
U100345,user,2024-02-15 20:23:01.512089,52.7,0
U100346,user,2025-12-16 17:43:28.264743,68.7,1
U100347,user,2022-05-02 06:48:25.757813,84.1,0
U100348,user,2025-06-08 00:57:24.101812,83.0,0
U100349,user,2025-10-19 06:57:51.573269,73.2,1
U100350,user,2025-08-07 08:37:27.713270,83.3,1
U100351,user,2025-02-24 05:42:02.818382,77.4,1
U100352,user,2025-04-26 19:05:55.358032,88.0,1
U100353,user,2024-07-28 02:57:35.093879,74.3,1
U100354,user,2024-06-11 01:34:14.711809,64.7,0
U100355,user,2025-05-09 14:43:10.042247,75.0,0
U100356,user,2024-12-03 10:06:15.690087,26.0,0
U100357,user,2025-07-16 22:56:44.634143,75.7,0
U100358,user,2025-12-03 05:54:05.548493,15.3,1
U100359,user,2025-08-18 00:40:50.269941,44.1,0
U100360,user,2025-10-19 11:55:04.527598,76.8,0
U100361,user,2024-08-26 00:47:27.016228,77.2,0
U100362,user,2025-11-04 18:34:45.621856,52.6,0
U100363,user,2025-02-16 11:24:55.119432,59.3,0
U100364,user,2024-06-11 19:07:11.519999,90.6,0
U100365,user,2025-11-28 12:50:16.092773,62.7,1
U100366,user,2025-05-08 15:51:30.189681,100.0,0
U100367,user,2024-03-19 21:24:59.268029,70.0,1
U100368,user,2025-08-25 00:02:53.583441,76.1,0
U100369,user,2025-08-30 23:02:09.050770,94.3,0
U100370,user,2025-07-18 23:44:37.737779,72.0,0
U100371,user,2025-11-10 12:19:49.447181,55.0,1
U100372,user,2025-11-16 23:29:27.109663,68.4,0
U100373,user,2023-11-16 05:41:27.819812,69.5,1
U100374,user,2024-05-10 18:07:13.267642,49.5,0
U100375,user,2025-08-06 18:54:58.971867,66.2,0
U100376,user,2025-10-12 03:03:35.824342,58.9,1
U100377,user,2025-01-29 23:02:38.572765,83.9,0
U100378,user,2023-01-10 00:37:57.234248,70.5,0
U100379,user,2024-07-08 04:14:48.579156,65.8,1
U100380,user,2025-09-01 11:29:57.826115,68.4,0
U100381,user,2025-07-19 10:32:42.434467,73.3,0
U100382,user,2025-04-02 02:54:50.337368,79.3,0
U100383,user,2025-06-27 07:03:48.844476,55.0,0
U100384,user,2025-10-11 23:35:16.653027,54.4,1
U100385,user,2025-10-12 17:05:10.147382,86.6,1
U100386,user,2025-04-05 05:24:27.909239,63.8,0
